Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,1/10/2023,17446.29297,17192.94922,17484.7207,17162.99023
BTC,1/11/2023,17934.89648,17446.35938,17934.89648,17337.99414
BTC,1/12/2023,18869.58789,18117.59375,19030.08789,17995.20313
BTC,1/13/2023,19909.57422,18868.90625,19964.32227,18753.16406
BTC,1/14/2023,20976.29883,19910.53711,21075.14258,19907.82813
BTC,1/15/2023,20880.79883,20977.48438,20993.74805,20606.98633
BTC,1/16/2023,21169.63281,20882.22461,21360.875,20715.74609
BTC,1/17/2023,21161.51953,21175.83398,21438.66016,20978.5332
BTC,1/18/2023,20688.78125,21161.05078,21564.50195,20541.54492
BTC,1/19/2023,21086.79297,20686.74609,21163.01172,20685.38086
BTC,1/20/2023,22676.55273,21085.37305,22692.35742,20919.12695
BTC,1/21/2023,22777.625,22677.42773,23282.34766,22511.83398
BTC,1/22/2023,22720.41602,22777.98633,23056.73047,22387.90039
BTC,1/23/2023,22934.43164,22721.08789,23126.48633,22654.30469
BTC,1/24/2023,22636.46875,22929.62695,23134.01172,22549.74414
BTC,1/25/2023,23117.85938,22639.26758,23722.09961,22406.07617
BTC,1/26/2023,23032.77734,23108.95508,23237.07813,22911.37305
BTC,1/27/2023,23078.72852,23030.7168,23417.7207,22654.59375
BTC,1/28/2023,23031.08984,23079.96484,23165.89648,22908.8457
BTC,1/29/2023,23774.56641,23031.44922,23919.89063,22985.07031
BTC,1/30/2023,22840.13867,23774.64844,23789.34766,22657.58203
BTC,1/31/2023,23139.2832,22840.79688,23225.02148,22765.56836
BTC,2/1/2023,23723.76953,23137.83594,23764.53906,22877.75
BTC,2/2/2023,23471.87109,23720.82422,24167.21094,23468.5957
BTC,2/3/2023,23449.32227,23469.41211,23678.10352,23279.95508
BTC,2/4/2023,23331.84766,23446.32031,23556.94922,23291.79492
BTC,2/5/2023,22955.66602,23332.24805,23423.43555,22841.75977
BTC,2/6/2023,22760.10938,22954.02148,23119.2793,22692.02539
BTC,2/7/2023,23264.29102,22757.26758,23310.97461,22756.25781
BTC,2/8/2023,22939.39844,23263.41602,23367.95898,22731.09766
BTC,2/9/2023,21819.03906,22946.56641,22996.4375,21773.97461
BTC,2/10/2023,21651.18359,21819.00586,21941.18555,21539.39258
BTC,2/11/2023,21870.875,21651.8418,21891.41016,21618.44922
BTC,2/12/2023,21788.20313,21870.90234,22060.99414,21682.82813
BTC,2/13/2023,21808.10156,21787,21898.41406,21460.08789
BTC,2/14/2023,22220.80469,21801.82227,22293.14063,21632.39453
BTC,2/15/2023,24307.8418,22220.58594,24307.8418,22082.76953
BTC,2/16/2023,23623.47461,24307.34961,25134.11719,23602.52344
BTC,2/17/2023,24565.60156,23621.2832,24924.04102,23460.75586
BTC,2/18/2023,24641.27734,24565.29688,24798.83594,24468.37305
BTC,2/19/2023,24327.64258,24640.02734,25093.05469,24327.64258
BTC,2/20/2023,24829.14844,24336.62305,25020.45898,23927.91016
BTC,2/21/2023,24436.35352,24833.04883,25126.85156,24200.36328
BTC,2/22/2023,24188.84375,24437.41797,24472.33984,23644.31836
BTC,2/23/2023,23947.49219,24190.71875,24572.08984,23693.91992
BTC,2/24/2023,23198.12695,23946.00781,24103.70508,23007.07227
BTC,2/25/2023,23175.375,23200.125,23210.21094,22861.55859
BTC,2/26/2023,23561.21289,23174.15039,23654.36719,23084.2207
BTC,2/27/2023,23522.87109,23561.45117,23857.89063,23205.87891
BTC,2/28/2023,23147.35352,23521.83789,23585.38477,23077.65039
BTC,3/1/2023,23646.55078,23150.92969,23880.63281,23088.62695
